Message num,Action,send,recived,RXPower,FPPower,TOF_CLK,distance
2924,POLL,563031845376,921074870204,-84.7,-93.65
2924,POLL_ACK,925725749248,567682758300,-84.85,-95.73
2924,RANGE,568751362560,926794428799,-85.54,-94.84,33776.871904196865,158.42558311080265
2925,POLL,571083251200,929126334308,-85.01,-93.14
2925,POLL_ACK,933777167872,575734118656,-84.63,-95.04
2925,RANGE,576802902528,934846027047,-84.34,-93.08,33782.31240931098,158.45110102132926
2926,POLL,579134657024,937177798390,-84.66,-93.77
2926,POLL_ACK,941828881408,583785773906,-85.03,-95.93
2926,RANGE,584854242816,942897425611,-85.33,-95.11,33776.72695888857,158.4249032655804
2927,POLL,587186057728,945229257370,-84.92,-95.33
2927,POLL_ACK,949881629696,591838463917,-85.62,-93.63
2927,RANGE,592907256320,950950497388,-85.38,-94.54,33774.92682098908,158.41645997642044
2928,POLL,595237138944,953280396858,-85.45,-94.89
2928,POLL_ACK,957931724288,599888500251,-85.17,-95.36
2928,RANGE,600956935680,959000235027,-85.32,-93.22,33785.117293339266,158.46425692839492
2929,POLL,603288498688,961331814887,-85.07,-95.49
2929,POLL_ACK,965982925824,607939643497,-86.04,-94.49
2929,RANGE,609008150528,967051508129,-85.54,-94.37,33769.65566975961,158.39173639604977
2930,POLL,611339904000,969383278468,-85.25,-94.89
2930,POLL_ACK,974034190848,615990850247,-84.81,-95.06
2930,RANGE,617059231232,975102647120,-85.28,-94.79,33774.71110647145,158.41544819835119
2931,POLL,619391309824,977434742580,-86.17,-93.28
2931,POLL_ACK,982085908480,624042509613,-85.49,-93.68
2931,RANGE,625111396352,983154870520,-85.51,-93.91,33781.14099962518,158.4456066918644
2932,POLL,627442761728,985486252750,-85.76,-94.71
2932,POLL_ACK,990137495552,632094038399,-85.2,-95.05
2932,RANGE,633162870272,991206402721,-85.4,-95.91,33777.45305489305,158.42830891496175
2933,POLL,635494167552,993537716851,-86.18,-94.35
2933,POLL_ACK,998189348352,640145832936,-85.73,-93.31
2933,RANGE,641214449152,999258039860,-85.66,-94.39,33778.03241577405,158.43102632424893
2934,POLL,643545573376,1001589180924,-86.15,-94.4
2934,POLL_ACK,1006238995456,648195421776,-85.38,-95.91
2934,RANGE,649263772672,1007307421623,-85.12,-94.76,33767.64510905196,158.38230614882636
2935,POLL,651596932608,1009640598441,-86.03,-94.42
2935,POLL_ACK,1014292077568,656248445609,-85.36,-93.83
2935,RANGE,657316623872,1015360331133,-85.05,-95.3,33782.444288155726,158.45171958017448
2936,POLL,659648384512,1017692108638,-85.23,-95.47
2936,POLL_ACK,1022343478272,664299788016,-85.53,-94.43
2936,RANGE,665368238080,1023412003629,-85.22,-93.64,33777.53677901899,158.42870161099088
2937,POLL,667700181504,1025743963913,-85.63,-94.7
2937,POLL_ACK,1030395102720,672351354185,-85.11,-95.57
2937,RANGE,673419899392,1031463723224,-85.42,-93.55,33779.10047645832,158.43603591001468
2938,POLL,683802601984,1041846500869,-85.14,-94.55
2938,POLL_ACK,1046495726080,688451861039,-85.1,-94.43
2938,RANGE,689520356864,1047564297190,-85.64,-93.67,33770.269038120765,158.39461331255504
2939,POLL,691854007296,1049897964483,-85.3,-96.01
2939,POLL_ACK,1054549060096,696505136790,-85.48,-95.3
2939,RANGE,697573807616,1055617806221,-85.83,-95.19,33780.1684760032,158.4410452090149
2940,POLL,699905413120,1057949428567,-85.37,-95.14
2940,POLL_ACK,1062600455680,704556474140,-85.31,-95.48
2940,RANGE,705625328128,1063669384977,-85.19,-95.77,33786.077867811226,158.46876236546657
2941,POLL,707957147648,1066001221326,-85.5,-95.27
2941,POLL_ACK,1070652301824,712608262064,-85.3,-93.48
2941,RANGE,713676856832,1071720971892,-85.86,-94.38,33784.24517519929,158.46016638308748
2942,POLL,716008546304,1074052678206,-86.08,-94.47
2942,POLL_ACK,1078704129536,720660031531,-85.1,-94.61
2942,RANGE,721728646144,1079772819422,-85.51,-94.11,33771.497920159905,158.40037720786708
2943,POLL,724059572736,1082103762850,-85.52,-93.71
2943,POLL_ACK,1086754554368,728710398164,-85.08,-95.42
2943,RANGE,729778636288,1087822867777,-84.62,-94.9,33778.25285937721,158.43206028341697
2944,POLL,732111035904,1090155284235,-84.39,-94.24
2944,POLL_ACK,1094806294016,736762079611,-84.21,-94.16
2944,RANGE,737830265344,1095874555039,-84.04,-93.37,33782.08170957382,158.45001895723266
2945,POLL,740162770432,1098207076964,-85.06,-93.31
2945,POLL_ACK,3346823680,744814178844,-84.8,-93.66
2945,RANGE,745882802176,4415522299,-84.64,-94.61,33779.26106741825,158.4367891389265
2946,POLL,748214238720,6746975677,-83.77,-94.68
2946,POLL_ACK,11398005248,752865302198,-84.94,-93.93
2946,RANGE,753933642240,12466420586,-84.72,-93.64,33782.30630837761,158.4510724057745
2947,POLL,756265252864,14798048035,-85.42,-94.28
2947,POLL_ACK,19449422336,760916661071,-84.24,-96.48
2947,RANGE,761985230336,20518066902,-84.28,-95.59,33783.80442105813,158.45809908887443
2948,POLL,764316987904,22849841297,-83.71,-94.89
2948,POLL_ACK,27501198848,768968379370,-83.53,-93.85
2948,RANGE,770036706304,28569601069,-83.63,-94.85,33779.654233982656,158.43863323042208
2949,POLL,772368064512,30900976117,-83.57,-93.99
2949,POLL_ACK,35552213504,777019335806,-84.24,-94.82
2949,RANGE,778088183808,36621136786,-84.53,-95.54,33774.44725113718,158.41421062267196
2950,POLL,780419469824,38952439647,-84.52,-95.62
2950,POLL_ACK,43603742208,785070806308,-83.59,-93.91
2950,RANGE,786139243008,44672254190,-83.38,-93.97,33778.00848981487,158.430914102962
2951,POLL,788470875648,47003903676,-83.58,-93.61
2951,POLL_ACK,51654817792,793121823685,-84.15,-95.9
2951,RANGE,794190672384,52723741781,-83.89,-95.23,33779.60046762554,158.43838104701973
2952,POLL,796522234880,55055321115,-83.76,-95.19
2952,POLL_ACK,59706506240,801173453920,-84.36,-93.85
2952,RANGE,802242317312,60775444907,-84.73,-94.13,33773.08132480392,158.40780394071373
2953,POLL,804573687296,63106831736,-84.34,-94.27
2953,POLL_ACK,67757465600,809224355081,-84.36,-94.21
2953,RANGE,810292624384,68825810193,-84.07,-94.55,33781.115015193354,158.44548481560614
2954,POLL,812625421824,71158624474,-84.94,-93.6
2954,POLL_ACK,75810260480,817277091756,-84.32,-93.3
2954,RANGE,818345374208,76878618222,-84.46,-94.24,33782.220229674065,158.4506686659362
2955,POLL,820676452352,79209713203,-84.74,-93.81
2955,POLL_ACK,83861019648,825327792726,-84.9,-95.55
2955,RANGE,826396531712,84929833910,-85.25,-94.37,33775.24350852928,158.41794535399958
2956,POLL,828727904256,87261223286,-84.47,-93.38
2956,POLL_ACK,91911145472,833377860358,-84.94,-95.15
2956,RANGE,834446610432,92979970829,-84.22,-94.55,33775.906965630624,158.4210572045714
2957,POLL,836779263488,95312640728,-83.95,-94.9
2957,POLL_ACK,99963481600,841430138282,-84.33,-93.53
2957,RANGE,842498453504,101031872108,-84.5,-93.55,33779.586826280625,158.43831706424393
2958,POLL,852882121216,111415614765,-85.13,-93.89
2958,POLL_ACK,116065338368,857531878746,-84.09,-95.93
